Name,Age,Gender,Height,Occupation,Hobbies,Pets,Favorite Music Genre,Favorite Band or Artist,Preferred Movie/TV Genre,Physical Activity Frequency,Preferred Physical Activity,Vacation Type,Vacation Activities,Bucket List,Vices,Preferred Partner Gender,Preferred Physical Attributes,Preferred Age Range,Preferred Activity Level,Pet Friendly Importance,Child Friendly Importance,Deal Breakers
Stephen Fields,44,Female,150 - 155 cm,Engineer,"Socializing, Gaming, Cooking/Baking","No, but I would love to",Rock,Kimberly Yang,"Action/Adventure, Romance, Comedy",I’m not very active,"Running/Jogging, Team sports","Adventure travel, No strong preference",Sightseeing/Cultural tours,"Running a marathon, Traveling to a new continent",Smoking,Prefer not to say,Natural look,26–35,No preference,4,3,"Disrespectful behavior, Lack of ambition, Smoking"
Kyle Green,32,Prefer not to say,195 - 200 cm,Student,"Reading, Cars/Motorbikes, Playing musical instruments",Yes – Dog(s),"Hip-Hop/Rap, Electronic",Alex Dyer,"Drama, Science Fiction/Fantasy, Horror/Thriller",I’m not very active,Yoga/Pilates,City breaks,Sightseeing/Cultural tours,"Skydiving or bungee jumping, Traveling to a new continent","None of the above, Regular alcohol consumption",It doesn't matter,Stylish/Well-groomed,26–35,Highly active/Sporty,2,3,Smoking
Cynthia Hurley,31,Prefer not to say,170 - 175 cm,IT Professional,"Socializing, Playing musical instruments",No,"Electronic, Manele, Classical",Beth Martin,Horror/Thriller,Occasionally (once a week or less),Running/Jogging,"Countryside, Adventure travel",Hiking/Outdoor adventures,"Learning a new language, Traveling to a new continent",Regular alcohol consumption,Male,Natural look,No preference,Not very active,1,5,"None of the above, Lack of ambition, Poor hygiene"
Willie Crawford,49,Non-binary,200+ cm,Business,"Sports, Cars/Motorbikes, Playing musical instruments, Tv shows/Movies",Yes – Other pet(s),Jazz/Blues,Justin Cruz,"Comedy, Horror/Thriller",Regularly (2–3 times a week),"Yoga/Pilates, Gym/Fitness classes","Seaside, City breaks","Swimming/Water sports, Relaxing on the beach","Starting your own business, Traveling to a new continent",Smoking,Prefer not to say,Tall,36–45,Moderately active,1,3,"Poor hygiene, Excessive drinking"
Timothy Davis,34,Non-binary,190 - 195 cm,Healthcare,Socializing,Yes – Multiple types,"Pop, Jazz/Blues, Hip-Hop/Rap",Bryan Burton,"Drama, Science Fiction/Fantasy, Action/Adventure",Regularly (2–3 times a week),"Swimming/Water sports, Team sports",Seaside,"Relaxing on the beach, Hiking/Outdoor adventures","Starting your own business, Learning a new language","Regular alcohol consumption, None of the above",Prefer not to say,No strong preference,36–45,Moderately active,4,4,"Smoking, None of the above, Disrespectful behavior"
Michelle Gray,34,Non-binary,155 - 160 cm,Other,"Sports, Socializing","No, but I would love to",Rock,Matthew Stanley,Comedy,I’m not very active,"Yoga/Pilates, Running/Jogging",Mountains,"Hiking/Outdoor adventures, Relaxing on the beach","Skydiving or bungee jumping, Running a marathon","Gambling, None of the above",Female,"Tall, No strong preference",18–25,Not very active,3,2,"Lack of ambition, Excessive drinking, Disrespectful behavior"
Anthony Fleming,46,Female,160 - 165 cm,Teacher,"Cars/Motorbikes, Hiking, Traveling",No,Classical,Adam Weber,Comedy,Frequently (more than 3 times a week),Swimming/Water sports,"No strong preference, Countryside","Hiking/Outdoor adventures, Swimming/Water sports","Skydiving or bungee jumping, Traveling to a new continent, Starting your own business","Regular alcohol consumption, Smoking",Female,Tall,26–35,Highly active/Sporty,5,2,"Lack of ambition, Poor hygiene, Smoking"
Jacob Smith,19,Male,170 - 175 cm,Teacher,"Gaming, Gym, Cars/Motorbikes",Yes – Multiple types,"Jazz/Blues, Hip-Hop/Rap",Kimberly Huang,Horror/Thriller,Regularly (2–3 times a week),Running/Jogging,No strong preference,"Swimming/Water sports, Sightseeing/Cultural tours","Starting your own business, Learning a new language, Running a marathon",Prefer not to say,Male,Natural look,No preference,Highly active/Sporty,5,1,"Lack of ambition, Poor hygiene"
Sherri Walters,25,Male,195 - 200 cm,Engineer,"Tv shows/Movies, Gym, Hiking, Playing musical instruments, Gaming",No,"Electronic, Manele",William Gates,"Horror/Thriller, Action/Adventure, Drama",Frequently (more than 3 times a week),Swimming/Water sports,Countryside,"Hiking/Outdoor adventures, Relaxing on the beach","Running a marathon, Traveling to a new continent","Gambling, Regular alcohol consumption",Prefer not to say,"No strong preference, Natural look",18–25,No preference,4,2,Lack of ambition
Michael Patterson,33,Female,160 - 165 cm,IT Professional,"Gaming, Playing musical instruments, Music/Art, Sports, Hiking",Yes – Dog(s),"Rock, Classical, Hip-Hop/Rap",Curtis Rogers,"Drama, Horror/Thriller",I’m not very active,"Yoga/Pilates, Team sports","No strong preference, City breaks","Relaxing on the beach, Swimming/Water sports","Skydiving or bungee jumping, Starting your own business, Running a marathon",Gambling,Male,Athletic build,36–45,No preference,5,3,Poor hygiene
Kristy Zamora,39,Female,155 - 160 cm,Artist,"Cooking/Baking, Playing musical instruments, Tv shows/Movies, Gym",Yes – Other pet(s),"Pop, Jazz/Blues, Manele",Zachary Santiago,Drama,Regularly (2–3 times a week),"Running/Jogging, I don't do any physical activities",No strong preference,"Swimming/Water sports, Relaxing on the beach","Skydiving or bungee jumping, Learning a new language, Starting your own business","Regular alcohol consumption, Smoking",It doesn't matter,Tall,26–35,Not very active,5,5,"Smoking, Lack of ambition"
Carl Webb,29,Non-binary,150 - 155 cm,Teacher,"Playing musical instruments, Gaming, Music/Art",Yes – Cat(s),"Hip-Hop/Rap, Pop",Cody Chapman,"Action/Adventure, Romance, Drama",Frequently (more than 3 times a week),Team sports,"City breaks, Seaside","Sightseeing/Cultural tours, Relaxing on the beach","Skydiving or bungee jumping, Starting your own business, Traveling to a new continent","Regular alcohol consumption, Gambling",Prefer not to say,Natural look,36–45,Not very active,3,1,Lack of ambition
Jeremy Ballard,19,Male,170 - 175 cm,Artist,"Socializing, Hiking, Music/Art, Cooking/Baking, Tv shows/Movies",Yes – Multiple types,"Classical, Electronic",Alison Duran,"Horror/Thriller, Romance, Science Fiction/Fantasy",Frequently (more than 3 times a week),"Team sports, I don't do any physical activities","No strong preference, Countryside",Sightseeing/Cultural tours,Skydiving or bungee jumping,Gambling,Prefer not to say,"Stylish/Well-groomed, Natural look",26–35,Moderately active,3,3,"Disrespectful behavior, Excessive drinking"
Joshua Gutierrez,46,Prefer not to say,185 - 190 cm,Healthcare,"Hiking, Traveling, Sports, Reading, Socializing",Yes – Other pet(s),"Manele, Classical, Pop",Rebecca Fleming,Drama,I’m not very active,"Gym/Fitness classes, Swimming/Water sports",Countryside,Swimming/Water sports,Starting your own business,"None of the above, Gambling",Prefer not to say,"Athletic build, Stylish/Well-groomed",No preference,Moderately active,3,2,Lack of ambition
Megan Nunez,29,Non-binary,170 - 175 cm,Healthcare,"Cars/Motorbikes, Gaming, Sports",Yes – Dog(s),Hip-Hop/Rap,Rachael Mcintyre,"Science Fiction/Fantasy, Drama, Comedy",Regularly (2–3 times a week),"Running/Jogging, Yoga/Pilates",Mountains,Swimming/Water sports,"Traveling to a new continent, Starting your own business, Skydiving or bungee jumping",Gambling,Female,"No strong preference, Tall",36–45,Highly active/Sporty,4,4,None of the above
Donna Evans,30,Non-binary,165 - 170 cm,IT Professional,Music/Art,No,"Rock, Hip-Hop/Rap",Dana Phillips,Science Fiction/Fantasy,I’m not very active,"Team sports, Gym/Fitness classes",City breaks,"Swimming/Water sports, Sightseeing/Cultural tours","Skydiving or bungee jumping, Running a marathon, Traveling to a new continent",None of the above,Prefer not to say,Stylish/Well-groomed,36–45,Moderately active,4,1,Smoking
Maria Martin,36,Male,185 - 190 cm,Teacher,"Gaming, Cars/Motorbikes","No, but I would love to",Jazz/Blues,Dana Rodriguez,Action/Adventure,Occasionally (once a week or less),Gym/Fitness classes,City breaks,Relaxing on the beach,Learning a new language,Gambling,Female,Athletic build,18–25,Highly active/Sporty,1,5,Poor hygiene
Joseph Hamilton,31,Prefer not to say,150 - 155 cm,Engineer,Cooking/Baking,Yes – Other pet(s),Manele,Jason Garza,Romance,Frequently (more than 3 times a week),"Yoga/Pilates, Gym/Fitness classes","Seaside, City breaks","Hiking/Outdoor adventures, Swimming/Water sports","Running a marathon, Traveling to a new continent, Starting your own business","Prefer not to say, Gambling",Female,Tall,46+,Highly active/Sporty,1,5,"Smoking, None of the above, Excessive drinking"
Jerry Davis,47,Male,160 - 165 cm,Business,Tv shows/Movies,Yes – Other pet(s),"Jazz/Blues, Classical, Electronic",Michael Espinoza,"Romance, Comedy, Science Fiction/Fantasy",Frequently (more than 3 times a week),Yoga/Pilates,"City breaks, No strong preference",Swimming/Water sports,"Running a marathon, Traveling to a new continent, Starting your own business","Gambling, Regular alcohol consumption",Female,"Athletic build, No strong preference",18–25,Moderately active,4,4,"None of the above, Lack of ambition, Disrespectful behavior"
Mark Sullivan,23,Female,185 - 190 cm,Healthcare,"Gaming, Socializing, Cooking/Baking, Music/Art",Yes – Cat(s),Jazz/Blues,John Martin,"Horror/Thriller, Action/Adventure, Science Fiction/Fantasy",I’m not very active,Yoga/Pilates,Mountains,Sightseeing/Cultural tours,Running a marathon,"Smoking, Regular alcohol consumption",It doesn't matter,Natural look,26–35,Moderately active,3,1,"Disrespectful behavior, Excessive drinking, None of the above"
Tammy Chan,30,Female,200+ cm,Student,"Cooking/Baking, Gaming, Music/Art, Tv shows/Movies, Socializing",No,Jazz/Blues,Anthony Jones,Drama,Occasionally (once a week or less),"Swimming/Water sports, Running/Jogging","Adventure travel, Mountains","Relaxing on the beach, Hiking/Outdoor adventures","Running a marathon, Learning a new language","Regular alcohol consumption, Gambling",Prefer not to say,"No strong preference, Tall",No preference,Moderately active,3,2,"Smoking, None of the above, Lack of ambition"
Jason Serrano,30,Non-binary,150 - 155 cm,Teacher,Sports,Yes – Multiple types,"Electronic, Classical",Denise Brown,Drama,Regularly (2–3 times a week),"Running/Jogging, Yoga/Pilates","No strong preference, Countryside","Swimming/Water sports, Relaxing on the beach","Skydiving or bungee jumping, Learning a new language",Regular alcohol consumption,Male,"No strong preference, Athletic build",No preference,No preference,3,5,"Excessive drinking, Smoking"
Lynn Cummings,30,Non-binary,195 - 200 cm,Teacher,Socializing,Yes – Dog(s),Hip-Hop/Rap,Vincent Mora,"Action/Adventure, Drama, Comedy",Regularly (2–3 times a week),"Swimming/Water sports, Yoga/Pilates",No strong preference,"Sightseeing/Cultural tours, Relaxing on the beach","Skydiving or bungee jumping, Traveling to a new continent",Smoking,It doesn't matter,"Natural look, Stylish/Well-groomed",46+,Moderately active,3,2,"Poor hygiene, Lack of ambition, Smoking"
John Sullivan,34,Male,185 - 190 cm,Business,Playing musical instruments,Yes – Other pet(s),Rock,Chris Everett,"Science Fiction/Fantasy, Comedy",Frequently (more than 3 times a week),Running/Jogging,Adventure travel,Hiking/Outdoor adventures,"Starting your own business, Traveling to a new continent, Skydiving or bungee jumping","Smoking, Prefer not to say",Prefer not to say,Stylish/Well-groomed,18–25,Moderately active,1,1,"Poor hygiene, None of the above, Disrespectful behavior"
Anna Schroeder,20,Non-binary,195 - 200 cm,Teacher,Tv shows/Movies,"No, but I would love to","Electronic, Rock, Hip-Hop/Rap",Darren Jensen,"Romance, Comedy, Drama",Regularly (2–3 times a week),"Team sports, Running/Jogging",Seaside,"Swimming/Water sports, Hiking/Outdoor adventures",Learning a new language,Regular alcohol consumption,Female,"Athletic build, Natural look",26–35,Moderately active,5,3,"Disrespectful behavior, None of the above"
Michael Powell,44,Female,200+ cm,Healthcare,"Music/Art, Cooking/Baking","No, but I would love to","Manele, Hip-Hop/Rap",Carrie Rose,Science Fiction/Fantasy,I’m not very active,Yoga/Pilates,"Adventure travel, Seaside","Relaxing on the beach, Sightseeing/Cultural tours",Learning a new language,"Gambling, Regular alcohol consumption",It doesn't matter,No strong preference,No preference,Moderately active,3,4,Excessive drinking
Melissa Hill,19,Non-binary,150 - 155 cm,Engineer,"Cars/Motorbikes, Socializing, Gaming, Traveling, Cooking/Baking",Yes – Multiple types,"Pop, Jazz/Blues, Classical",Emily Miranda,Horror/Thriller,I’m not very active,"Team sports, Gym/Fitness classes",Adventure travel,Swimming/Water sports,Running a marathon,"None of the above, Prefer not to say",Male,"Natural look, Stylish/Well-groomed",No preference,Not very active,5,5,"Disrespectful behavior, Smoking, None of the above"
Jeffrey Wells,35,Non-binary,165 - 170 cm,Artist,"Cars/Motorbikes, Socializing, Music/Art",Yes – Cat(s),"Manele, Hip-Hop/Rap",Penny Sullivan,"Action/Adventure, Romance",Regularly (2–3 times a week),"I don't do any physical activities, Running/Jogging",Countryside,"Swimming/Water sports, Sightseeing/Cultural tours","Learning a new language, Running a marathon, Traveling to a new continent","Prefer not to say, Smoking",It doesn't matter,"Natural look, Athletic build",26–35,Moderately active,5,2,Disrespectful behavior
Ashley Thomas,36,Non-binary,170 - 175 cm,Student,Playing musical instruments,Yes – Other pet(s),"Manele, Hip-Hop/Rap",Steven Price,"Horror/Thriller, Action/Adventure",I’m not very active,Gym/Fitness classes,Adventure travel,"Relaxing on the beach, Swimming/Water sports",Traveling to a new continent,Smoking,Female,No strong preference,46+,Not very active,3,4,"Excessive drinking, Disrespectful behavior"
Dana Guzman,26,Male,185 - 190 cm,Student,Playing musical instruments,Yes – Other pet(s),"Classical, Electronic",Samantha Mccullough,Action/Adventure,Occasionally (once a week or less),Gym/Fitness classes,Countryside,Relaxing on the beach,"Learning a new language, Running a marathon","None of the above, Gambling",Prefer not to say,Natural look,18–25,Not very active,3,2,Smoking
Karen Brown,19,Female,165 - 170 cm,Student,"Tv shows/Movies, Hiking","No, but I would love to","Electronic, Rock",Mary Thompson,Comedy,Regularly (2–3 times a week),Gym/Fitness classes,Countryside,"Swimming/Water sports, Sightseeing/Cultural tours",Running a marathon,"None of the above, Smoking",It doesn't matter,Natural look,18–25,No preference,4,5,Lack of ambition
Sabrina Brown MD,46,Prefer not to say,195 - 200 cm,Other,"Socializing, Tv shows/Movies, Gaming, Cooking/Baking, Gym",Yes – Cat(s),Manele,John Torres,Science Fiction/Fantasy,Occasionally (once a week or less),"Yoga/Pilates, Swimming/Water sports",Adventure travel,Relaxing on the beach,"Skydiving or bungee jumping, Starting your own business, Learning a new language",None of the above,It doesn't matter,Athletic build,No preference,Highly active/Sporty,3,4,None of the above
Carrie Hernandez,21,Prefer not to say,190 - 195 cm,Artist,"Traveling, Music/Art, Hiking, Gym, Sports",Yes – Other pet(s),Electronic,Joel Fletcher,"Action/Adventure, Horror/Thriller, Romance",Occasionally (once a week or less),"I don't do any physical activities, Running/Jogging","City breaks, Mountains",Swimming/Water sports,"Traveling to a new continent, Skydiving or bungee jumping, Starting your own business",None of the above,Prefer not to say,Natural look,No preference,Moderately active,3,4,"Disrespectful behavior, Lack of ambition, None of the above"
Destiny Wells,18,Female,155 - 160 cm,Student,"Tv shows/Movies, Music/Art",No,"Manele, Jazz/Blues, Rock",William Little,Comedy,Frequently (more than 3 times a week),"Yoga/Pilates, Gym/Fitness classes","Adventure travel, No strong preference","Swimming/Water sports, Relaxing on the beach","Traveling to a new continent, Running a marathon, Skydiving or bungee jumping","Prefer not to say, Smoking",Female,Stylish/Well-groomed,36–45,No preference,4,3,Disrespectful behavior
David Mcgee,46,Non-binary,155 - 160 cm,Engineer,"Music/Art, Playing musical instruments, Cars/Motorbikes","No, but I would love to",Electronic,Gordon Adams,"Action/Adventure, Science Fiction/Fantasy, Romance",I’m not very active,Running/Jogging,Seaside,"Swimming/Water sports, Sightseeing/Cultural tours","Learning a new language, Traveling to a new continent, Starting your own business","Prefer not to say, Smoking",It doesn't matter,Athletic build,36–45,Not very active,1,3,"Lack of ambition, None of the above"
Jeremy Williams,32,Female,160 - 165 cm,Student,"Gaming, Traveling, Music/Art",Yes – Multiple types,"Pop, Classical",Brian Arellano,"Romance, Science Fiction/Fantasy",Frequently (more than 3 times a week),Team sports,Adventure travel,Hiking/Outdoor adventures,Traveling to a new continent,"Smoking, Gambling",Female,"Tall, Athletic build",18–25,Moderately active,1,4,"Lack of ambition, Smoking"
James Ramirez,23,Non-binary,190 - 195 cm,Student,"Tv shows/Movies, Gym, Cars/Motorbikes",Yes – Other pet(s),"Jazz/Blues, Manele",Kenneth Ellis,"Drama, Romance, Horror/Thriller",I’m not very active,Gym/Fitness classes,"Countryside, No strong preference",Swimming/Water sports,Starting your own business,"Smoking, Gambling",Prefer not to say,Tall,36–45,Not very active,3,4,"Poor hygiene, Excessive drinking, Disrespectful behavior"
Courtney Harper,20,Male,185 - 190 cm,Healthcare,"Tv shows/Movies, Cooking/Baking, Music/Art, Cars/Motorbikes",Yes – Dog(s),"Electronic, Classical",Stephen Diaz,Horror/Thriller,Occasionally (once a week or less),Gym/Fitness classes,"No strong preference, Adventure travel",Hiking/Outdoor adventures,"Running a marathon, Traveling to a new continent","Gambling, None of the above",It doesn't matter,"Stylish/Well-groomed, Natural look",36–45,No preference,2,2,Excessive drinking
Jennifer Cobb,42,Prefer not to say,165 - 170 cm,Healthcare,"Cars/Motorbikes, Gaming, Socializing",Yes – Other pet(s),Pop,Jessica Jones,"Science Fiction/Fantasy, Drama, Horror/Thriller",Frequently (more than 3 times a week),"I don't do any physical activities, Team sports","Seaside, Adventure travel",Sightseeing/Cultural tours,Learning a new language,"Regular alcohol consumption, Smoking",Male,"Natural look, Stylish/Well-groomed",No preference,Moderately active,5,2,"None of the above, Lack of ambition, Poor hygiene"
Matthew Cook,27,Female,190 - 195 cm,Engineer,"Reading, Music/Art, Cooking/Baking",Yes – Other pet(s),"Manele, Classical",Jeffrey Clarke,"Science Fiction/Fantasy, Comedy, Action/Adventure",Regularly (2–3 times a week),I don't do any physical activities,No strong preference,"Hiking/Outdoor adventures, Relaxing on the beach","Traveling to a new continent, Learning a new language","Regular alcohol consumption, Gambling",It doesn't matter,No strong preference,No preference,Moderately active,2,2,Disrespectful behavior
Audrey Garcia MD,46,Male,190 - 195 cm,Healthcare,"Cars/Motorbikes, Socializing",Yes – Multiple types,Electronic,Sarah Walker,Science Fiction/Fantasy,Frequently (more than 3 times a week),"Swimming/Water sports, Gym/Fitness classes",Countryside,Hiking/Outdoor adventures,"Skydiving or bungee jumping, Learning a new language",Prefer not to say,Male,"Athletic build, No strong preference",18–25,Moderately active,1,1,"Disrespectful behavior, Smoking"
